t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	98	2	0	0	0.4
10	0	100	0	0	0.4
14.5	0	100	0	0	0.4
14.51	98	2	0	0	0.4
16.5	98	2	0	0	0.4
