t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.1
5	95	5	0	0	0.1
25	5	95	0	0	0.1
25.1	0	100	0	0	0.1
35	0	100	0	0	0.1
35.1	95	5	0	0	0.1
45	95	5	0	0	0.1
