t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.4
2	95	5	0	0	0.4
8	5	95	0	0	0.4
12	5	80	15	0	0.4
19	5	25	70	0	0.4
19.5	5	0	25	70	0.4
21.5	5	0	25	70	0.4
22.5	75	0	25	0	0.4
23	95	5	0	0	0.4
