t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	100	0	0	0	0.4
2	100	0	0	0	0.4
15	0	100	0	0	0.4
22	0	100	0	0	0.4
22.1	100	0	0	0	0.4
26	100	0	0	0	0.4
