t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	99	1	0	0	1.5
7	92.5	7.5	0	0	1.5
14	92.4	7.6	0	0	1.5
17	90	10	0	0	1.5
18.5	88	12	0	0	1.5
20	87.5	12.5	0	0	1.5
24	70	30	0	0	1.5
25	10	90	0	0	1.5
25.1	99	1	0	0	1.5
32	99	1	0	0	1.5
