t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	100	0	0	0	0.1
1	100	0	0	0	0.1
6	95	5	0	0	0.1
30	0	100	0	0	0.1
35	0	100	0	0	0.1
35.1	100	0	0	0	0.1
40	100	0	0	0	0.1
