t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	90	10	0	0	0.3
1.6	90	10	0	0	0.3
2	80	20	0	0	0.3
6	30	70	0	0	0.3
7	30	70	0	0	0.3
14	10	90	0	0	0.3
17.5	10	90	0	0	0.3
18	5	95	0	0	0.3
21	5	95	0	0	0.3
