t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	3	97	0	0	0.25
2	3	97	0	0	0.25
10	30	70	0	0	0.25
15	90	10	0	0	0.25
17	90	10	0	0	0.25
18	3	97	0	0	0.25
25	3	97	0	0	0.25
