t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.3
10	95	5	0	0	0.3
30	85	15	0	0	0.3
45	80	20	0	0	0.3
65	80	20	0	0	0.3
95	46	54	0	0	0.3
110	37	63	0	0	0.3
115	95	5	0	0	0.3
135	95	5	0	0	0.3
