t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	20	80	0	0	0.12
1	20	80	0	0	0.12
21	80	20	0	0	0.12
21.5	80	20	0	0	0.12
26.5	80	20	0	0	0.12
27.5	20	80	0	0	0.12
35	20	80	0	0	0.12
