t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	95	5	0	0	0.4
10	75	25	0	0	0.4
20	60	40	0	0	0.4
24	10	90	0	0	0.4
25	10	90	0	0	0.4
26	95	5	0	0	0.4
30	95	5	0	0	0.4
