id	bits.on
draft_79318_00049	134,139,146,172,236,296,372,383,429,508,532,550,620,626,640,676,733,751,947,968,972
draft_79318_00050	20,23,68,70,96,111,134,202,211,215,216,255,272,278,298,335,374,391,401,405,436,446,467,487,489,508,516,550,560,580,585,594,605,654,684,714,725,727,730,738,747,751,754,768,780,826,842,867,891,936,941,963,968,971
draft_79318_00051	57,96,99,109,134,145,181,221,249,260,270,272,282,335,347,357,378,408,421,449,456,459,487,508,550,575,616,619,636,654,685,699,705,714,766,834,939,950,954,963,968,987,994
draft_79318_00052	20,31,62,68,96,134,145,151,153,211,242,270,312,345,347,391,421,430,484,487,489,508,544,550,588,629,634,638,648,725,727,778,805,826,855,864,865,879,889,915,948,949,968,994,1006
draft_79318_00053	1,67,134,177,205,245,262,266,311,316,319,377,404,405,422,461,508,524,576,585,603,686,738,803,808,916,944,948,968,969,982,995
draft_79318_00054	15,26,89,134,144,198,207,229,234,244,245,287,297,374,387,473,505,508,524,543,554,677,678,706,716,723,729,741,747,752,782,831,833,911,915,968
draft_79318_00055	20,37,51,91,96,134,140,141,146,148,197,230,278,300,347,350,405,407,482,487,503,506,508,516,549,550,596,609,615,626,662,696,727,786,797,842,872,875,948,968,970
draft_79318_00056	1,12,15,20,26,42,43,87,134,198,243,326,347,380,408,413,461,487,498,499,508,516,520,532,539,550,570,705,719,727,759,781,782,785,812,824,839,861,946,948,963,968,970,973,998,1011,1012
draft_79318_00057	15,20,26,40,68,134,144,154,176,206,214,222,228,264,335,362,410,458,473,484,499,504,508,515,632,648,658,727,762,775,815,831,887,920,948,968,977,984,1021,1022
draft_79318_00058	15,17,26,41,42,61,70,89,93,131,134,168,179,206,254,278,302,413,415,417,433,492,517,571,588,621,643,681,711,747,827,879,964,976
draft_79318_00059	153,326,626,666,700,718,833,916,919,932,948
draft_79318_00060	15,63,96,134,155,181,243,374,392,441,487,550,577,606,616,657,725,734,739,935,955,968,972
draft_79318_00061	60,96,129,134,145,278,300,304,421,481,487,491,508,514,550,578,627,741,825,829,850,881,968,1010
draft_79318_00062	15,54,95,96,134,150,192,205,223,245,274,392,400,452,461,487,498,508,534,544,550,566,568,670,748,758,791,964,968,975,1001
draft_79318_00063	18,20,26,35,38,63,89,96,109,116,119,134,145,146,157,161,167,194,207,215,225,256,260,261,274,287,297,321,347,396,401,420,421,446,452,469,478,487,497,499,500,508,511,515,531,550,555,557,575,647,686,727,747,781,804,807,808,824,835,850,871,892,901,909,948,965,968,1006
draft_79318_00064	20,37,62,78,153,165,207,231,254,292,308,347,370,497,508,530,542,544,567,589,625,640,652,727,728,778,826,866,948,977,994,1008,1017,1019
draft_79318_00065	15,60,134,138,194,242,278,304,339,417,453,481,508,515,582,637,657,712,713,747,887,943,968,989
draft_79318_00066	15,20,28,31,68,82,89,96,128,134,146,151,159,202,210,211,229,237,321,347,473,487,508,550,566,727,762,772,788,855,889,968,997,998
draft_79318_00067	15,26,61,70,89,131,134,181,254,278,338,415,417,461,465,469,471,495,517,566,580,581,621,747,866,956,964,974,976,1003,1009
draft_79318_00068	20,31,62,68,96,134,151,153,157,169,211,242,283,312,347,391,430,487,508,544,550,674,727,778,826,855,879,889,948,949,968,994,1006
draft_79318_00069	96,134,139,145,381,421,487,516,530,550,824,907,915,938,968,971,1022
draft_79318_00070	20,24,49,59,98,109,134,136,144,230,278,344,421,508,515,516,530,536,550,582,590,599,626,670,716,727,747,818,838,858,948,968,1011
draft_79318_00071	19,20,95,96,134,145,151,153,219,298,347,394,421,487,505,508,544,550,663,699,727,736,878,897,898,948,968,994
draft_79318_00072	20,134,138,151,153,219,347,394,505,508,544,550,620,626,635,640,663,665,676,699,727,733,736,878,897,947,948,966,968,994
draft_79318_00073	38,51,54,63,77,96,106,109,130,134,144,145,153,161,191,214,256,260,270,274,304,347,349,350,358,361,403,421,459,482,486,487,505,511,515,526,548,550,575,588,626,668,692,725,750,776,781,800,807,812,863,871,896,907,934,948,968,977,994
draft_79318_00074	11,13,14,35,47,73,75,127,134,144,148,214,247,272,278,281,310,347,374,405,420,451,481,503,508,509,515,524,527,547,574,582,614,655,714,730,747,835,839,842,887,897,909,941,968,971,974,988,995,997,1003,1024
draft_79318_00075	8,35,41,95,126,134,138,144,196,206,214,278,281,304,330,345,355,393,398,405,417,453,502,508,509,515,516,580,582,604,611,621,640,643,653,655,657,730,738,747,759,768,790,791,793,819,824,853,946,968,983,989,992,998
draft_79318_00076	96,134,164,193,272,305,350,431,487,550,577,654,703,714,736,781,823,866,884,892,908,925,935,968
draft_79318_00077	4,96,134,181,197,283,347,353,408,487,549,550,553,587,626,640,675,705,778,858,948,968
draft_79318_00078	3,15,20,89,108,140,153,175,197,207,212,237,254,263,287,326,347,396,397,415,417,453,473,497,503,508,524,586,595,601,608,626,666,694,727,748,772,778,802,852,922,930,948,954,964,994,1008
draft_79318_00079	15,64,79,90,118,134,138,153,172,175,226,233,249,259,270,275,278,281,302,393,405,408,425,444,453,508,524,541,545,550,553,580,603,651,657,661,662,738,747,783,815,854,875,889,891,916,938,945,968,976,989
draft_79318_00080	96,112,134,189,205,223,390,427,452,479,487,503,550,566,662,678,705,719,786,797,968
draft_79318_00081	4,134,148,201,226,304,315,347,353,362,366,515,516,538,549,550,626,640,666,669,705,712,735,778,825,850,858,931,948,968,970,990,999
draft_79318_00082	75,134,135,144,245,257,274,284,352,391,405,435,468,479,481,493,504,508,524,548,559,570,603,765,768,830,863,864,915,948,977,997,1015
draft_79318_00083	8,31,33,62,116,134,144,153,214,215,278,300,319,327,387,391,399,405,420,430,488,517,524,550,706,732,738,739,747,748,759,777,778,786,826,835,863,864,874,880,909,912,948,968,971,994,999
draft_79318_00084	27,49,56,146,197,236,303,347,405,440,508,516,549,948
draft_79318_00085	20,53,126,144,153,207,220,254,387,508,516,541,652,727,739,755,802,806,866,874,883,948,968,977,994,1004
draft_79318_00086	28,96,134,182,220,367,373,377,427,446,456,467,487,516,550,560,731,748,948,968,998
draft_79318_00087	15,16,73,81,89,116,134,149,259,272,311,380,385,393,405,419,430,432,473,487,505,508,524,534,550,585,603,606,618,630,660,681,683,686,700,713,723,725,743,844,950,968,983
draft_79318_00088	63,96,134,215,487,518,550,577,935,968
draft_79318_00089	15,73,81,89,116,128,134,149,175,237,272,371,380,385,393,405,419,453,487,524,550,585,633,666,679,683,686,725,743,772,929,948,958,968
draft_79318_00090	15,73,81,89,116,128,134,138,175,237,265,272,280,297,341,349,380,385,393,405,419,437,487,508,550,585,683,720,725,772,823,842,948,968,980,983,1002
draft_79318_00091	45,62,75,96,134,153,203,283,353,487,524,533,549,550,556,626,640,662,675,696,719,755,778,781,786,794,826,919,935,945,948,968,994
draft_79318_00092	45,51,62,132,134,135,153,169,178,199,260,270,281,283,296,326,347,418,430,550,556,626,658,662,666,667,730,755,778,781,786,794,800,812,820,826,948,968,977,994
draft_79318_00093	21,81,86,116,134,189,243,272,307,335,385,388,393,405,479,485,487,550,552,585,614,662,664,673,723,725,968,977,987
draft_79318_00094	67,96,134,175,182,207,220,312,326,367,432,487,550,671,734,748,779,802,948,968,1014
draft_79318_00095	45,62,75,96,134,153,203,283,353,487,524,533,549,550,556,626,640,662,675,696,719,755,778,781,786,794,826,919,935,945,948,968,994
draft_79318_00096	134,207,220,308,343,350,522,542,550,647,686,727,779,802,843,870,912,948,968
draft_79318_00097	51,59,64,99,134,173,278,293,515,582,594,654,711,747,768,826,968,1010
draft_79318_00098	51,59,99,134,147,173,178,232,278,293,495,512,515,582,594,611,636,654,711,747,768,826,895,923,947,959,968,1010,1014,1022
draft_79318_00099	18,20,26,35,38,54,63,77,89,96,109,116,134,145,153,157,161,164,194,225,256,260,270,274,347,401,403,421,446,469,478,486,487,499,500,508,511,515,531,544,545,550,557,559,575,588,595,636,648,692,725,727,747,781,807,824,850,871,948,968,985
