id	name	formula	rt	smiles.std	inchi.std	inchikey.std	classyfire.kingdom	classyfire.superclass	classyfire.class	classyfire.subclass	classyfire.level5	classyfire.level6	comment
draft_79318_00036	(4-methylphenyl)-phenylmethanone	C14H12O	0.4	CC1=CC=C(C=C1)C(=O)C2=CC=CC=C2	InChI=1S/C14H12O/c1-11-7-9-13(10-8-11)14(15)12-5-3-2-4-6-12/h2-10H,1H3	WXPWZZHELZEVPO-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Benzophenones (CHEMONTID:0000120)	NA (NA)	NA (NA)	
draft_79318_00037	4-oxo-4-(3-pyridyl)butanamide	C23H26BrN3O3	0.64	CC1CC(CN(C1)C(=O)C2=C(C=CC(=C2)Br)NC(=O)CCC(=O)C3=CN=CC=C3)C	InChI=1S/C23H26BrN3O3/c1-15-10-16(2)14-27(13-15)23(30)19-11-18(24)5-6-20(19)26-22(29)8-7-21(28)17-4-3-9-25-12-17/h3-6,9,11-12,15-16H,7-8,10,13-14H2,1-2H3,(H,26,29)	DOZVEMLZTNCJCJ-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Benzoyl derivatives (CHEMONTID:0000321)	1-benzoylpiperidines (CHEMONTID:0004110)	NA (NA)	
draft_79318_00038	2-(3-methylbutoxy)oxane	C10H20O2	0.36	CC(C)CCOC1CCCCO1	InChI=1S/C10H20O2/c1-9(2)6-8-12-10-5-3-4-7-11-10/h9-10H,3-8H2,1-2H3	DHDKLGMTNBVEIS-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Oxanes (CHEMONTID:0002012)	NA (NA)	NA (NA)	NA (NA)	
draft_79318_00039	7,12-dimethylbenz[a]anthracene	C20H16	0.52	CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C	InChI=1S/C20H16/c1-13-16-8-5-6-9-17(16)14(2)20-18(13)12-11-15-7-3-4-10-19(15)20/h3-12H,1-2H3	ARSRBNBHOADGJU-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Phenanthrenes and derivatives (CHEMONTID:0000025)	NA (NA)	NA (NA)	NA (NA)	
draft_79318_00040	atrazine	C8H14ClN5	2.33	CCNC1=NC(=NC(=N1)Cl)NC(C)C	InChI=1S/C8H14ClN5/c1-4-10-7-12-6(9)13-8(14-7)11-5(2)3/h5H,4H2,1-3H3,(H2,10,11,12,13,14)	MXWJVTOOROXGIU-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Organoheterocyclic compounds (CHEMONTID:0000002)	Triazines (CHEMONTID:0000098)	1,3,5-triazines (CHEMONTID:0004105)	Halo-S-triazines (CHEMONTID:0004639)	Chloro-s-triazines (CHEMONTID:0004721)	
draft_79318_00041	avobenzone	C20H22O3	0.41	CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC	InChI=1S/C20H22O3/c1-20(2,3)16-9-5-14(6-10-16)18(21)13-19(22)15-7-11-17(23-4)12-8-15/h5-12H,13H2,1-4H3	XNEFYCZVKIDDMS-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Phenylpropanoids and polyketides (CHEMONTID:0000261)	Linear 1,3-diarylpropanoids (CHEMONTID:0003467)	Chalcones and dihydrochalcones (CHEMONTID:0001630)	Retro-dihydrochalcones (CHEMONTID:0003475)	NA (NA)	
draft_79318_00042	_-ionone	C13H20O	0.43	CC1=C(C(CCC1)(C)C)C=CC(=O)C	InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h7-8H,5-6,9H2,1-4H3	PSQYTAPXSHCGMF-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Lipids and lipid-like molecules (CHEMONTID:0000012)	Prenol lipids (CHEMONTID:0000259)	Sesquiterpenoids (CHEMONTID:0001550)	NA (NA)	NA (NA)	
draft_79318_00043	2,4-dibromo-1-(2,4-dibromophenoxy)benzene	C12H6Br4O	3.3	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br	InChI=1S/C12H6Br4O/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6H	XYBSIYMGXVUVGY-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Diphenylethers (CHEMONTID:0004155)	Bromodiphenyl ethers (CHEMONTID:0001845)	NA (NA)	
draft_79318_00044	cyclohexyl 2-aminobenzoate	C13H17NO2	0.39	C1CCC(CC1)OC(=O)C2=CC=CC=C2N	InChI=1S/C13H17NO2/c14-12-9-5-4-8-11(12)13(15)16-10-6-2-1-3-7-10/h4-5,8-10H,1-3,6-7,14H2	KFEZETDKFSMLMG-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Benzoic acids and derivatives (CHEMONTID:0000176)	Benzoic acid esters (CHEMONTID:0001350)	NA (NA)	
draft_79318_00045	5-benzoyl-4-hydroxy-2-methoxybenzenesulfonic acid	C14H12O6S	0.73	COC1=C(C=C(C(=C1)O)C(=O)C2=CC=CC=C2)S(=O)(=O)O	InChI=1S/C14H12O6S/c1-20-12-8-11(15)10(7-13(12)21(17,18)19)14(16)9-5-3-2-4-6-9/h2-8,15H,1H3,(H,17,18,19)	CXVGEDCSTKKODG-UHFFFAOYSA-N	Organic compounds (CHEMONTID:0000000)	Benzenoids (CHEMONTID:0002448)	Benzene and substituted derivatives (CHEMONTID:0002279)	Benzophenones (CHEMONTID:0000120)	NA (NA)	NA (NA)	
