rt	comment	id	pubchem.smiles.canonical	pubchem.cid	pubchem.smiles.isomeric
3.538		draft_86029_00079	CC(=O)NNC(=O)C1=CC=NC=C1	71602	
3.64		draft_86029_00080	COC(=O)CN	69221	
3.7560000000000002		draft_86029_00081	CN1C=CN=C1	1390	
3.7560000000000002		draft_86029_00082	C[N+]1=CC(=CC=C1)C(N)=O	457	
3.824		draft_86029_00083	CC(O)CCN	170254	
3.9530000000000003		draft_86029_00084	NC(=O)NCC1=NC=CC=C1	705533	
3.959		draft_86029_00085	CN1CCOC1=O	29831	
3.96		draft_86029_00086	CN1CCOCC1	7972	
3.9735		draft_86029_00087	O=C1N=NC(=O)C2=C1NC=CN2	819789	
3.999		draft_86029_00088	COC(=O)C(N)CO	416960	
4.218		draft_86029_00089	CN(C)CC#C	81643	
4.239		draft_86029_00090	NC1CCOCC1	419223	
4.249		draft_86029_00091	NC1=NC(N)=NC(N)=N1	7955	
4.284000000000001		draft_86029_00092	OCC1=CC=CN=C1	7510	
4.34		draft_86029_00093	NC1=CC(=CC(N)=C1)C(O)=O	12062	
4.346		draft_86029_00094	CC1=NCCC1	70103	
4.357		draft_86029_00095	OCC(CO)(CO)C1=NC=CC=C1	685892	
4.391		draft_86029_00096	CC(C)(N)CO	11807	
4.398		draft_86029_00097	NC1=NC(=O)N(CC(O)CO)C=C1	10261815	
4.421		draft_86029_00098	OC(=O)C1=CNC(=O)C=C1	72924	
4.5120000000000005		draft_86029_00099	NC1=CC=C(N)C=C1	7814	
4.532		draft_86029_00100	CC1=NC=CN1	12749	
4.5840000000000005		draft_86029_00101	C1=CN=NC=C1	9259	
4.634		draft_86029_00102	CNCCOC	300977	
4.664		draft_86029_00103	CSC(N)=N	197815	
4.712999999999999		draft_86029_00104	CCCC(N)=O	10927	
4.725		draft_86029_00105	CCOC(N)=O	5641	
4.79		draft_86029_00106	O=C1NC=CC=C1	8871	
4.826		draft_86029_00107	CCCN	7852	
4.895		draft_86029_00108	O=C1C=CNC=C1	12290	
5.174		draft_86029_00109	CCNCC	8021	
5.268		draft_86029_00110	CN1C=CC(=CC1=O)C(O)=O	819923	
5.281000000000001		draft_86029_00111	NC1=NCCS1	15689	
5.351		draft_86029_00112	N1N=NC(=N1)C1=CN=CC=C1	151091	
5.362		draft_86029_00113	CN1C(=O)N(C)C2=CC=C(C=C2C1=O)S(O)(=O)=O	22642050	
5.382000000000001		draft_86029_00114	CC1=C(C=CC=C1N)C(N)=O	16495773	
5.4030000000000005		draft_86029_00115	CN1C(=O)NC=C(CC(O)=O)C1=O	28690732	
5.444		draft_86029_00116	CC(C)NCCO	7994	
5.454		draft_86029_00117	NC1=CC=C(N)N=C1	20314	
5.485		draft_86029_00118	NC(=O)C1CCCOC1	22714381	
5.495		draft_86029_00119	CC1=C2C=CC=CC2=NC(=C1)C(O)=O	748357	
