t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	100	0	0	0	0.35
1	95	5	0	0	0.35
7	55	45	0	0	0.35
8.5	20	80	0	0	0.35
10.5	20	80	0	0	0.35
11	95	5	0	0	0.35
12	95	5	0	0	0.35
