t [min]	A [%]	B [%]	C [%]	D [%]	flow rate [ml/min]
0	99	1	0	0	0.3
1	85	15	0	0	0.3
4	65	35	0	0	0.3
7	5	95	0	0	0.3
9	5	95	0	0	0.3
10	99	1	0	0	0.3
14	5	95	0	0	0.3
